Name,Liver,R-Kidney,Spleen,Pancreas,Aorta,IVC,RAG,LAG,Gallbladder,Esophagus,Stomach,Duodenum,L-Kidney
FLARETs_0048,0.9686918258666992,0.9518994092941284,0.969952404499054,0.8241082429885864,0.9373983144760132,0.6136408448219299,0.70011305809021,0.8758156299591064,0.0,0.6670198440551758,0.9054006338119507,0.7726123929023743,0.9013645648956299
FLARETs_0047,0.8833478689193726,0.975055992603302,0.8662490844726562,0.8113049268722534,0.9253795742988586,0.7014071941375732,0.7701680660247803,0.8046011924743652,0.4515005946159363,0.7916010022163391,0.9137962460517883,0.3131681978702545,0.9764666557312012
FLARETs_0009,0.9611747860908508,0.9547914266586304,0.652238667011261,0.8240776658058167,0.8704707026481628,0.8668862581253052,0.5986478328704834,0.6805901527404785,0.8237058520317078,0.7580264210700989,0.7837528586387634,0.5865622758865356,0.9621862173080444
FLARETs_0041,0.9694669842720032,0.968180239200592,0.9476562142372131,0.8949135541915894,0.9416769742965698,0.8945212364196777,0.8649105429649353,0.7630502581596375,0.882472038269043,0.8553680777549744,0.9329120516777039,0.36354443430900574,0.2503490746021271
FLARETs_0002,0.975570797920227,0.9550706744194031,0.9790142774581909,0.8341708779335022,0.9545177221298218,0.8426784873008728,0.8589001297950745,0.8372092843055725,0.0,0.625686764717102,0.964604377746582,0.7870267033576965,0.9594424366950989
FLARETs_0042,0.9658121466636658,0.24991276860237122,0.9653019905090332,0.8832088112831116,0.9448513388633728,0.927775502204895,0.6712819337844849,0.7744352221488953,0.9102123379707336,0.8530247807502747,0.9526832699775696,0.5956523418426514,0.9553893804550171
FLARETs_0003,0.9778259992599487,0.967761218547821,0.977336049079895,0.9421281218528748,0.947822093963623,0.9116247892379761,0.8780952095985413,0.8832387328147888,0.9163892269134521,0.1840173900127411,0.2814321219921112,0.9223924279212952,0.9706264138221741
FLARETs_0005,0.9776785969734192,0.9736509323120117,0.9554218053817749,0.9071891903877258,0.9447354078292847,0.9128068685531616,0.601788341999054,0.817037045955658,0.9184229969978333,0.8857597708702087,0.9608215093612671,0.5590358972549438,0.4220634400844574
FLARETs_0020,0.979928195476532,0.9701939225196838,0.9762897491455078,0.9181431531906128,0.9473592638969421,0.9364543557167053,0.8813338875770569,0.72509765625,0.0,0.9069545269012451,0.9574294686317444,0.8030930757522583,0.9712328314781189
FLARETs_0019,0.9753698706626892,0.9678170680999756,0.9267160296440125,0.8322156667709351,0.946353018283844,0.8783584833145142,0.8132258057594299,0.7207207083702087,0.892011284828186,0.8285568952560425,0.58065265417099,0.7260105609893799,0.9697719812393188
FLARETs_0034,0.980655312538147,0.9760840535163879,0.9746322631835938,0.9313135743141174,0.9500246644020081,0.942489743232727,0.835354745388031,0.8634471297264099,0.9524234533309937,0.18121400475502014,0.5987995862960815,0.9025858044624329,0.9742908477783203
FLARETs_0044,0.9783799052238464,1.0,0.9794084429740906,0.9110458493232727,0.929150402545929,0.9337936639785767,0.0,0.9150206446647644,0.9599836468696594,0.8164141774177551,0.9563784599304199,0.7948247790336609,0.9745010733604431
